id,dir,OmM,OmB,h,mean,median,std,min,max,range,q05,q25,q75,q95,iqr,w90,skew,kurt,grad_mean,rmse_to_mean,corr_to_mean,dist_mean,outlier_struct,outlier_maha
52,0052_0.12506_0.02157_0.82134,0.12506,0.02157,0.82134,9.767388343811035,9.759317398071289,0.1899212896823883,9.06165599822998,11.483070373535156,2.421414375305176,9.46901798248291,9.640010833740234,9.882851600646973,10.092451095581055,0.24284076690673828,0.6234331130981445,0.4134583983018723,0.6933852483491827,0.07850361615419388,0.14229413999408524,0.8415139494046283,813.6885341853817,0.29153858197265486,1.3781873040463617
53,0053_0.12049_0.02162_0.66240,0.12049,0.02162,0.6624,9.687896728515625,9.667190551757812,0.3077472448348999,8.73307991027832,13.2125244140625,4.47944450378418,9.229304313659668,9.478586196899414,9.86223316192627,10.227107048034668,0.38364696502685547,0.997802734375,0.7304744983338269,1.598872312821931,0.11838120222091675,0.12399897207351826,0.9375853704094836,761.6836395816416,-0.21401879826575798,1.2835363584679078
54,0054_0.14368_0.02332_0.65562,0.14368,0.02332,0.65562,9.680252075195312,9.663461685180664,0.27437689900398254,8.789161682128906,12.797614097595215,4.008452415466309,9.26542067527771,9.494589805603027,9.839232444763184,10.154685020446777,0.34464263916015625,0.8892643451690674,0.6562163366551129,1.4003065900304028,0.10696116089820862,0.08976823870291595,0.9553856480072952,676.0991490582376,-1.0460149237792908,0.3584113184764615
55,0055_0.13632_0.02155_0.62177,0.13632,0.02155,0.62177,9.632046699523926,9.611196517944336,0.30840709805488586,8.675904273986816,13.167553901672363,4.491649627685547,9.172747611999512,9.422225952148438,9.806655883789062,10.17261028289795,0.384429931640625,0.9998626708984375,0.7327326778408434,1.6032397071144286,0.11867129057645798,0.13968409173983043,0.9365240002586618,806.0475288195452,0.21725775351267035,1.1825113958689897
56,0056_0.13861_0.02267_0.56042,0.13861,0.02267,0.56042,9.611531257629395,9.58672046661377,0.335502952337265,8.611337661743164,13.536160469055176,4.924822807312012,9.117699384689331,9.382089614868164,9.798385620117188,10.2061607837677,0.41629600524902344,1.0884613990783691,0.7794863253787542,1.6910115367982836,0.1278933882713318,0.19883330628580248,0.863592667178473,993.1900571686951,2.036534325156464,1.5921765538573045
57,0057_0.14848_0.02178_0.71291,0.14848,0.02178,0.71291,9.681443214416504,9.670619010925293,0.2171563059091568,8.901657104492188,11.910857200622559,3.009200096130371,9.34462833404541,9.535433769226074,9.81156063079834,10.052885293960571,0.2761268615722656,0.7082569599151611,0.4966701742072801,0.9218584920970456,0.08757580816745758,0.10309074993693057,0.8944441690122379,707.3311444396115,-0.7423980068537431,1.2510703308406426
58,0058_0.12109_0.02272_0.64820,0.12109,0.02272,0.6482,9.699763298034668,9.67825698852539,0.31392982602119446,8.734116554260254,13.302797317504883,4.568680763244629,9.233153104782104,9.486068725585938,9.876846313476562,10.25123405456543,0.390777587890625,1.0180809497833252,0.7422147258324283,1.625475571261033,0.12047024816274643,0.1347869384538902,0.9264052843144567,791.9023555077912,0.07974768225883205,1.7109507907279178
59,0059_0.14671_0.02346_0.60769,0.14671,0.02346,0.60769,9.642821311950684,9.622629165649414,0.3035222589969635,8.695230484008789,13.119879722595215,4.424649238586426,9.189849853515625,9.436492919921875,9.815250396728516,10.173739433288574,0.3787574768066406,0.9838895797729492,0.7227288433855074,1.5795556343144037,0.1169891506433487,0.12806437087510533,0.9435318162435579,772.912865944471,-0.10485564534807319,0.9887252426911773
60,0060_0.14449_0.02179_0.77863,0.14449,0.02179,0.77863,9.713207244873047,9.705910682678223,0.18163245916366577,9.029046058654785,11.302864074707031,2.273818016052246,9.42690372467041,9.591471672058105,9.8241605758667,10.024048089981079,0.23268890380859375,0.597144365310669,0.38922761495371044,0.6294764254859846,0.07580598443746567,0.13009115029860072,0.8225759893302531,778.5839742807567,-0.04972486015204645,1.471076760658694
61,0061_0.15278_0.02277_0.83918,0.15278,0.02277,0.83918,9.724078178405762,9.720060348510742,0.14341336488723755,9.145718574523926,10.770895957946777,1.6251773834228516,9.494314908981323,9.62810230255127,9.813798904418945,9.967363357543945,0.18569660186767578,0.47304844856262207,0.2767591448007324,0.3824554654567103,0.06320328265428543,0.15971771210525157,0.7261346406908483,866.3594140407955,0.8035702327903861,2.2457816046425787
62,0062_0.12597_0.02215_0.56044,0.12597,0.02215,0.56044,9.62767219543457,9.601059913635254,0.34610915184020996,8.614836692810059,13.535698890686035,4.920862197875977,9.120429754257202,9.390419960021973,9.819448471069336,10.24350357055664,0.4290285110473633,1.1230738162994385,0.7937993177258151,1.7046599677070953,0.13146090507507324,0.21678771770743702,0.8201921077244534,1054.4732262732964,2.6322889875070663,1.5558196092077785
